,datatime,volume
943,2013-10-02,3148600000
944,2013-10-03,3279650000
945,2013-10-04,2880270000
946,2013-10-07,2678490000
947,2013-10-08,3569230000
948,2013-10-09,3577840000
949,2013-10-10,3362300000
950,2013-10-11,2944670000
951,2013-10-14,2580580000
952,2013-10-15,3327740000
953,2013-10-16,3486180000
954,2013-10-17,3453590000
955,2013-10-18,3664890000
956,2013-10-21,3052710000
957,2013-10-22,3850840000
958,2013-10-23,3713380000
959,2013-10-24,3671700000
960,2013-10-25,3175720000
961,2013-10-28,3282300000
962,2013-10-29,3358460000
963,2013-10-30,3523040000
964,2013-10-31,3826530000
965,2013-11-01,3686290000
966,2013-11-04,3194870000
967,2013-11-05,3516680000
968,2013-11-06,3322100000
969,2013-11-07,4143200000
970,2013-11-08,3837170000
971,2013-11-11,2534060000
972,2013-11-12,3221030000
973,2013-11-13,3327480000
974,2013-11-14,3139060000
975,2013-11-15,3254820000
976,2013-11-18,3168520000
977,2013-11-19,3224450000
978,2013-11-20,3109140000
979,2013-11-21,3256630000
980,2013-11-22,3055140000
981,2013-11-25,2998540000
982,2013-11-26,3427120000
983,2013-11-27,2613590000
984,2013-11-29,1598300000
985,2013-12-02,3095430000
986,2013-12-03,3475680000
987,2013-12-04,3610540000
988,2013-12-05,3336880000
989,2013-12-06,3150030000
990,2013-12-09,3129500000
991,2013-12-10,3117150000
992,2013-12-11,3472240000
993,2013-12-12,3306640000
994,2013-12-13,3061070000
